date,1a. open (USD),1b. open (USD),2a. high (USD),2b. high (USD),3a. low (USD),3b. low (USD),4a. close (USD),4b. close (USD),5. volume,6. market cap (USD)
2022-11-21,1142.21,1142.21,1146.99,1146.99,1079.76,1079.76,1107.34,1107.34,922647.9454,922647.9454
2022-11-20,1217.67,1217.67,1227.07,1227.07,1132.65,1132.65,1142.21,1142.21,531108.7607,531108.7607
2022-11-19,1212.58,1212.58,1235.0,1235.0,1197.67,1197.67,1217.67,1217.67,209789.5888,209789.5888
2022-11-18,1200.42,1200.42,1234.0,1234.0,1199.18,1199.18,1212.58,1212.58,360218.5337,360218.5337
2022-11-17,1216.16,1216.16,1228.22,1228.22,1181.05,1181.05,1200.43,1200.43,530537.3488,530537.3488
2022-11-16,1253.22,1253.22,1268.67,1268.67,1187.06,1187.06,1216.17,1216.17,673339.7215,673339.7215
2022-11-15,1243.29,1243.29,1291.0,1291.0,1234.01,1234.01,1253.23,1253.23,632825.568,632825.568
2022-11-14,1221.5,1221.5,1291.2,1291.2,1171.13,1171.13,1243.28,1243.28,934742.0059,934742.0059
2022-11-13,1257.25,1257.25,1274.23,1274.23,1200.66,1200.66,1221.49,1221.49,547410.5304,547410.5304
2022-11-12,1289.35,1289.35,1292.16,1292.16,1238.7,1238.7,1257.25,1257.25,547772.9172,547772.9172
2022-11-11,1299.28,1299.28,1310.0,1310.0,1201.26,1201.26,1289.28,1289.28,1308087.1498,1308087.1498
2022-11-10,1102.73,1102.73,1350.0,1350.0,1085.93,1085.93,1299.28,1299.28,1975955.6767,1975955.6767
2022-11-09,1334.78,1334.78,1337.16,1337.16,1073.53,1073.53,1102.73,1102.73,2494797.9357,2494797.9357
2022-11-08,1568.09,1568.09,1579.98,1579.98,1233.0,1233.0,1334.77,1334.77,2339916.5089,2339916.5089
2022-11-07,1568.25,1568.25,1608.04,1608.04,1545.03,1545.03,1568.1,1568.1,642409.4494,642409.4494
2022-11-06,1626.98,1626.98,1639.02,1639.02,1564.39,1564.39,1568.29,1568.29,414863.9525,414863.9525
2022-11-05,1644.78,1644.78,1666.97,1666.97,1621.42,1621.42,1626.98,1626.98,351385.5362,351385.5362
2022-11-04,1531.01,1531.01,1680.0,1680.0,1528.4,1528.4,1644.78,1644.78,935531.4781,935531.4781
2022-11-03,1518.33,1518.33,1559.01,1559.01,1515.17,1515.17,1531.01,1531.01,560202.8813,560202.8813
2022-11-02,1578.47,1578.47,1621.68,1621.68,1502.32,1502.32,1518.34,1518.34,981395.3648,981395.3648
2022-11-01,1572.69,1572.69,1612.92,1612.92,1563.69,1563.69,1578.48,1578.48,527539.2965,527539.2965
2022-10-31,1590.45,1590.45,1635.8,1635.8,1545.43,1545.43,1572.69,1572.69,810334.2414,810334.2414
2022-10-30,1619.55,1619.55,1640.06,1640.06,1576.56,1576.56,1590.44,1590.44,476036.4243,476036.4243
2022-10-29,1554.4,1554.4,1663.06,1663.06,1547.66,1547.66,1619.55,1619.55,914161.0846,914161.0846
2022-10-28,1514.04,1514.04,1574.9,1574.9,1479.82,1479.82,1554.41,1554.41,858954.4425,858954.4425
2022-10-27,1566.11,1566.11,1578.58,1578.58,1503.2,1503.2,1514.05,1514.05,869454.4851,869454.4851
2022-10-26,1459.74,1459.74,1594.99,1594.99,1457.44,1457.44,1566.1,1566.1,1236044.7023,1236044.7023
2022-10-25,1343.61,1343.61,1525.16,1525.16,1334.94,1334.94,1459.74,1459.74,1127932.9012,1127932.9012
2022-10-24,1364.19,1364.19,1370.6,1370.6,1324.17,1324.17,1343.61,1343.61,611830.797,611830.797
2022-10-23,1313.62,1313.62,1371.55,1371.55,1299.44,1299.44,1364.2,1364.2,432269.46,432269.46
2022-10-22,1299.76,1299.76,1320.2,1320.2,1294.32,1294.32,1313.61,1313.61,221776.7007,221776.7007
2022-10-21,1282.57,1282.57,1306.97,1306.97,1252.65,1252.65,1299.75,1299.75,468076.7986,468076.7986
2022-10-20,1285.09,1285.09,1310.87,1310.87,1270.36,1270.36,1282.57,1282.57,428531.6103,428531.6103
2022-10-19,1310.71,1310.71,1313.5,1313.5,1280.31,1280.31,1285.09,1285.09,368637.5105,368637.5105
2022-10-18,1331.39,1331.39,1341.73,1341.73,1286.72,1286.72,1310.71,1310.71,572728.9189,572728.9189
2022-10-17,1305.96,1305.96,1338.57,1338.57,1295.64,1295.64,1331.4,1331.4,459848.4941,459848.4941
2022-10-16,1274.93,1274.93,1315.35,1315.35,1274.67,1274.67,1305.95,1305.95,293321.3632,293321.3632
2022-10-15,1296.26,1296.26,1301.69,1301.69,1263.64,1263.64,1274.92,1274.92,287100.9529,287100.9529
